0.460879 0.037578
0.431985 0.042029
0.405039 0.053320
0.376456 0.057588
0.347321 0.054731
0.318342 0.050603
0.289093 0.049279
0.260056 0.052070
0.234478 0.065554
0.229621 0.092696
0.227546 0.117366
0.215714 0.140976
0.229894 0.166496
0.251557 0.185537
0.278445 0.197123
0.295392 0.218841
0.275616 0.232757
0.247429 0.240746
0.220221 0.251525
0.196716 0.268694
0.174426 0.287643
0.154906 0.309466
0.135909 0.331783
0.122099 0.357344
0.109692 0.383758
0.099230 0.410915
0.098890 0.440152
0.101893 0.469258
0.112451 0.496489
0.088925 0.508733
0.065414 0.525498
0.050184 0.550234
0.048280 0.579232
0.055396 0.607588
0.062918 0.635889
0.067712 0.664777
0.072422 0.693714
0.070048 0.722752
0.078951 0.750392
0.100948 0.769151
0.128389 0.779351
0.156825 0.786359
0.183784 0.793767
0.186717 0.822929
0.189652 0.852082
0.196452 0.880503
0.209981 0.906046
0.235814 0.919599
0.264791 0.917851
0.287318 0.899948
0.294828 0.871962
0.291822 0.842927
0.281470 0.815575
0.294239 0.816957
0.316199 0.836357
0.337922 0.856020
0.360594 0.874554
0.384358 0.891673
0.409092 0.907402
0.433775 0.922990
0.458010 0.939472
0.482876 0.954969
0.510090 0.963154
0.532881 0.945084
0.546968 0.919699
0.553205 0.891225
0.552352 0.861987
0.539264 0.836338
0.517035 0.817356
0.491110 0.803794
0.464395 0.791744
0.437456 0.780317
0.411641 0.766537
0.385760 0.752800
0.360677 0.737769
0.336216 0.721759
0.331273 0.694543
0.341028 0.667002
0.359038 0.644073
0.386504 0.635123
0.414680 0.627276
0.442726 0.619111
0.471751 0.621830
0.500146 0.628962
0.528503 0.636362
0.556990 0.643217
0.585810 0.648321
0.615031 0.650351
0.644320 0.650478
0.673436 0.648093
0.700926 0.638034
0.727205 0.625085
0.752366 0.610098
0.775314 0.591939
0.796348 0.571550
0.814987 0.548968
0.831425 0.524751
0.845539 0.499077
0.857108 0.472223
0.865840 0.444273
0.870999 0.415432
0.874687 0.386379
0.877245 0.357187
0.878133 0.328292
0.907419 0.328619
0.934226 0.318530
0.951221 0.295306
0.954517 0.266367
0.951379 0.237242
0.942767 0.209359
0.925791 0.185632
0.904215 0.165891
0.879966 0.149504
0.854159 0.135691
0.827086 0.124513
0.799277 0.115408
0.771238 0.107008
0.750292 0.086712
0.727405 0.068785
0.699412 0.060448
0.670493 0.055826
0.641352 0.052640
0.612211 0.049898
0.583033 0.046963
0.553902 0.043855
0.524792 0.040686
0.495646 0.037662
0.466398 0.037246
